v1,v2
ham,ㅋㅋㅋ 부전여전...ㅋㅋㅋㅋㅋㅋ
ham,피곤스타일ㆍ
ham,"장인어른 장모님 자리가 참 괜찮네 ㅎㅎㅎ
저기 말이야, 똑바른 청년들은 얼른 장가가...
ㅎㅎㅎㅎㅎ"
ham,아까 그 친구네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ양자로 들이세요 ㅋㅋ
ham,하버지님 짱!!!!!
ham,하알라는 사랑입니다❤
ham,하알라 님에 입문하게 된 영상입니다
ham,하알라 이쁘지않음?
ham,유튜브로 흥한자 유튜브로 망한다
ham,없던걸로.............ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ham,재미있는 가족 시트콤이네🥰🥰
ham,"하버지님
하머니.하알라 두분속에서 힘들게 사시는것 응원할게요.
즐겁게 매일매일 재밋게 시청할게요."
ham,코미디 도 이런 코미디는 없다. 아이고 웃다가ㅡㅡㅋ
