v1,v2
ham,"[SKT안내] [Web발신] [SKT] 0플랜 슈퍼히어로의 기본제공 영상/부가통화를 처음 사용하셨습니다. 0플랜 슈퍼히어로의 기본제공 영상/부가통화가 298분37초 남았습니다.  ※ '부가통화'란   콜센터 등 전국 대표번호(예:1599,1588,02-1588 등)와 050, 060, 013 등으로 시작되는 번호로 발신한 통화입니다.  기본 제공량 소진 후에는 사용하시는 만큼 요금(음성 1.98원/초, 영상 3.3원/초) 부과되오니 유의하시기 바랍니다."
ham,[SKT]'데이터자동선물' 성공. 01021421290로부터1GB데이터를선물받습니다.
ham,선물 받은 데이터는 가입하신 요금제의 기본제공데이터에 우선하여 먼저 소진됩니다.
ham,[SKT] 선물 받은 데이터를 모두 사용하셨습니다.
ham,가입 요금제에 따라 데이터 기본제공량이 소진되거나 데이터통화료가 발생합니다.
ham,"[SKT안내] [Web발신] [SKT] 0플랜 슈퍼히어로의 기본제공 데이터 50% 소진, 51163MB 남았습니다."
ham,"[SKT안내] [Web발신] [SKT] 테더링(핫스팟)으로 사용 가능한 데이터 80% 소진, 4056MB 남았습니다. * 기본 제공 데이터 한도(테더링/공유 외)를 모두 사용한 경우, 일반 데이터 사용시에도 테더링 한도에서 차감될 수 있음"
ham,"[SKT안내] [Web발신] [SKT] 테더링(핫스팟)으로 사용 가능한 데이터를 모두 사용하셨습니다. * 기본 제공 데이터 한도(테더링/공유 외)를 모두 사용한 경우, 일반 데이터 사용시에도 테더링 한도에서 차감될 수 있음"
ham,"[SKT안내] [Web발신] [SKT] 0플랜 슈퍼히어로의 기본제공 데이터 80% 소진, 20480MB 남았습니다."
ham,"[SKT안내] [Web발신] [SKT] 0플랜 슈퍼히어로의 기본제공 영상/부가통화를 처음 사용하셨습니다. 0플랜 슈퍼히어로의 기본제공 영상/부가통화가 299분31초 남았습니다.  ※ '부가통화'란   콜센터 등 전국 대표번호(예:1599,1588,02-1588 등)와 050, 060, 013 등으로 시작되는 번호로 발신한 통화입니다.  기본 제공량 소진 후에는 사용하시는 만큼 요금(음성 1.98원/초, 영상 3.3원/초) 부과되오니 유의하시기 바랍니다."
ham,"[SKT] 함께쓰기, 선물하기, 워치/탭 공유로 사용 가능한 데이터는 9.98GB남았습니다."
ham,"[SKT] 함께쓰기, 선물하기, 워치/탭 공유로 사용 가능한 데이터는 3.93GB남았습니다."
ham,"[SKT] 함께쓰기, 선물하기, 워치/탭 공유로 사용 가능한 데이터는 0.00GB남았습니다."
ham,[SKT안내] [Web발신] [SKT] 0플랜 슈퍼히어로의 기본제공 데이터를 모두 사용하셨습니다. 이제부터 데이터 속도가 제어됩니다.
ham,"고객님의 12월 온가족플랜 가족 총 할인액은 20,100원입니다(유선 포함, VAT별도)"
